epoch,train_loss,train_acc,val_loss,val_acc
1,1.7264315860591104,0.33210332103321033,1.691367326698867,0.43349753694581283
2,1.3981069782416613,0.42066420664206644,1.4084562597603634,0.4729064039408867
3,1.317303423658655,0.46863468634686345,1.4906105625218358,0.46798029556650245
4,1.3280218033186477,0.4735547355473555,1.4822581889006892,0.49261083743842365
5,1.2626445944458795,0.4969249692496925,1.375181501722101,0.5024630541871922
6,1.3233010502025797,0.4735547355473555,1.3172023384441882,0.5615763546798029
7,1.1639942328135173,0.5264452644526445,1.393273691238441,0.4876847290640394
8,1.0847743012075202,0.5977859778597786,1.0007706275714443,0.6009852216748769
9,0.9626826371947191,0.6396063960639606,0.9664102965975042,0.6502463054187192
10,0.9440858878039493,0.6223862238622386,0.8834865953534695,0.6945812807881774
11,0.9086405268307834,0.6580565805658056,0.8343420683456759,0.6896551724137931
12,0.8481036892383008,0.6851168511685117,0.845500257802127,0.7192118226600985
13,0.8088859589484052,0.6961869618696187,0.7772212527655615,0.7487684729064039
14,0.7747798837712183,0.7134071340713407,0.7382185353434144,0.7635467980295566
15,0.746744348774097,0.7269372693726938,0.6958037218436819,0.7438423645320197
16,0.7223922012770161,0.7318573185731857,0.7206819436233032,0.7635467980295566
17,0.7037204754015323,0.7257072570725708,0.7023596073606332,0.7684729064039408
18,0.6910905741970771,0.7453874538745388,0.6953453073654269,0.7536945812807881
19,0.6792117507548643,0.7539975399753998,0.7004413419756396,0.7635467980295566
20,0.6235580481359733,0.7749077490774908,0.6841355540188663,0.7881773399014779
21,0.6947368601151498,0.7380073800738007,0.7027999109822541,0.7684729064039408
22,0.6663330986930875,0.7601476014760148,0.6997542927417849,0.7832512315270936
23,0.6263340529040656,0.7687576875768758,0.6822984811707671,0.7684729064039408
24,0.6412601061852655,0.7626076260762608,0.6802478099397837,0.7783251231527094
25,0.6251145159919617,0.7859778597785978,0.6627276682207737,0.7635467980295566
